EmployeeID,DateOfHire,DateOfBirth,Gender,Department,JobTitle,EmploymentStatus,SupervisorID,SupervisorName,SupervisorLevel,ProjectsAssigned,ProjectsCompleted,PerformanceRating,Salary,Bonus,YearsAtCompany,YearsInCurrentRole,TrainingHours,OvertimeHours,Absences,HireSource,EmployeeEngagementScore,TerminationDate,ReasonForLeaving,LastPromotionDate,SeniorLeader,TeamSize,PromotionCount,WorkFromHomeDays,PerformanceImprovementPlan,YearsSinceLastTraining,JobSatisfactionScore,RetentionRisk,DiversityCategory,SkillsAssessmentScore,RecruitmentCost,TimeToFillPosition,InternalPromotion,WorkHoursPerWeek,StressLevelScore
12015,01-05-2017,12-06-1988,Male,Sales,Financial adviser,On Leave,198,Russell Medina,VP,7,1,1,96813.26,16188.25,2,9,56,18,18,Walk-in,2.3,,,,Thomas G,26,0,11,No,5,1.49,Low,Diverse,69.73,7633.8,47,Yes,60,9.77
12016,18-07-2022,29-01-1967,Male,IT,Records manager,Active,531,Cynthia Lopez,Manager,16,14,3,41864.89,14844.86,1,7,83,19,2,Job Board,4.64,,,24-11-2022,Arun S,12,1,15,Yes,3,1.35,Medium,Diverse,50.32,1113,18,No,56,4.24
12017,17-11-2024,28-12-1999,Male,IT,Conference centre manager,Terminated,19,Stephanie Ramos,Manager,20,13,3,72092.24,4595.21,0,6,65,11,4,Walk-in,4.11,26-11-2024,Resignation,,Arun S,47,2,7,Yes,2,1,Medium,Non-Diverse,94.87,9277.19,57,No,37,8.54
12018,12-12-2022,19-02-1973,Non-Binary,Finance,Speech and language therapist,Active,948,Steven Lowe,Director,17,10,3,93055.01,13779.35,1,6,58,30,19,Job Board,2.9,,,08-01-2023,Arun S,49,0,4,No,0,2.01,Low,Diverse,91.62,8287.8,26,Yes,60,9.81
12019,24-08-2024,14-11-1996,Female,IT,"Therapist, sports",Terminated,719,Shawn Waters,Manager,0,19,5,87922.05,4271.62,6,9,19,42,1,Job Board,4.66,19-12-2024,Retirement,,Patrick,30,2,20,No,5,1.93,Medium,Non-Diverse,86.16,3532.27,50,No,39,4.74
12020,22-03-2020,26-07-1965,Non-Binary,HR,Broadcast presenter,On Leave,753,Jessica Boyd,Director,5,2,4,99293.63,2266.71,3,4,49,29,7,Walk-in,1.87,,,,Arun S,44,2,20,Yes,1,2.03,Medium,Diverse,79.97,6738.17,60,Yes,44,7.47
12021,24-04-2019,08-11-1989,Non-Binary,Sales,Theatre stage manager,On Leave,304,Craig Bass,Manager,12,3,2,53197.26,3809.11,6,2,77,43,1,Job Board,1.23,,,13-10-2022,Thomas G,42,3,9,Yes,1,1.04,Low,Non-Diverse,80.33,2860.36,44,No,59,4.67
12022,13-01-2020,29-04-1966,Male,Marketing,Clinical research associate,Terminated,255,Morgan Carrillo,VP,6,2,1,46370.26,10435.23,3,0,98,37,16,Referral,2.48,25-04-2022,Resignation,,Thomas G,40,3,15,No,2,2.77,High,Diverse,96.51,8149.67,29,No,54,2.47
12023,01-08-2023,27-04-1966,Non-Binary,Sales,Exhibition designer,On Leave,430,Jennifer Macdonald,Director,18,15,4,48972.8,16980.23,2,9,86,25,14,Walk-in,1.94,,,21-02-2024,Thomas G,41,0,1,Yes,3,2.93,High,Diverse,80.65,4767.96,37,No,57,9.33
12024,10-08-2020,27-10-1976,Non-Binary,Marketing,"Teacher, primary school",Active,439,Shari Richardson,Manager,9,2,3,102653.52,15934.11,10,4,28,28,12,Referral,1.78,,,03-01-2025,Patrick,9,4,5,No,0,1.06,High,Non-Diverse,66.62,7578.33,30,Yes,44,4.48
12025,13-08-2023,28-05-1975,Female,Finance,Lawyer,Active,283,Travis Carson,Manager,9,15,1,115443.65,10442.44,4,4,16,26,18,Recruiter,1.32,,,01-10-2024,Patrick,33,1,7,No,1,4.04,High,Diverse,86.74,9171.14,49,Yes,35,6.42
12026,07-07-2017,07-11-1962,Non-Binary,Marketing,"Editor, magazine features",On Leave,233,Ellen Cox,Manager,3,13,3,100695.82,2475.71,2,8,65,13,7,Job Board,4.59,,,19-02-2019,Patrick,26,5,13,No,2,2.12,High,Non-Diverse,98.16,9024.24,13,No,43,7.99
12027,08-01-2022,24-02-1978,Female,Sales,"Education officer, museum",On Leave,326,Robert Scott II,VP,12,19,4,100920.98,8724.97,4,4,90,48,6,Walk-in,4,,,,Thomas G,31,4,7,No,4,1.94,High,Non-Diverse,69.77,1308.13,40,No,60,4.98
12028,23-10-2017,28-04-2000,Non-Binary,IT,Publishing copy,On Leave,187,Jessica Ball,Director,9,0,5,32047.52,19908.92,5,9,12,48,12,Recruiter,1.53,,,07-05-2024,Thomas G,32,5,1,No,2,2.5,Medium,Diverse,55.01,1126.95,34,No,33,1.26
12029,27-10-2018,09-08-1997,Male,Marketing,Horticultural consultant,Active,179,Jason Wong,VP,8,13,5,83949.41,17170.91,10,4,76,19,16,Job Board,4.81,,,16-01-2021,Thomas G,14,3,2,Yes,2,1.76,Medium,Diverse,98.24,8902.98,16,No,35,1.97
12030,26-09-2023,06-04-1971,Non-Binary,IT,"Psychologist, clinical",On Leave,88,Karen Aguilar,VP,6,3,2,99705.98,18352.95,10,3,20,17,20,Job Board,3.36,,,11-08-2024,Thomas G,10,0,0,No,5,1.59,Medium,Non-Diverse,71.72,3237.44,50,No,38,7.95
12031,07-08-2018,24-03-1976,Female,HR,Civil Service administrator,On Leave,607,Jeremy Gonzalez,VP,16,13,5,65852.19,6230.43,8,5,91,47,19,Recruiter,1.84,,,02-03-2023,Arun S,25,3,1,No,5,3.93,Medium,Non-Diverse,52.32,9995.26,57,Yes,42,1.93
12032,25-08-2019,02-06-1982,Female,HR,Marketing executive,On Leave,477,Greg Montgomery,Director,15,3,5,113867.23,7890.59,7,10,7,23,8,Referral,4.85,,,,Thomas G,29,4,6,No,2,3.86,Low,Diverse,82.27,1310.53,34,Yes,51,5.69
12033,11-01-2017,02-09-1968,Non-Binary,Marketing,"Nurse, learning disability",Terminated,256,Juan Allen,Director,20,15,4,71981.83,203.18,3,9,92,31,15,Recruiter,4.53,04-06-2024,None,03-01-2022,Arun S,19,1,4,No,2,1.24,Medium,Non-Diverse,97.57,7517.42,36,No,59,3.36
12034,01-02-2024,19-02-2002,Male,IT,Exercise physiologist,Active,211,Katie Lucas,VP,12,7,2,80432.09,1147.64,5,3,19,0,11,Recruiter,4.3,,,,Patrick,28,2,14,No,4,4.37,High,Diverse,89.7,7491.11,40,No,51,5.25
12035,25-05-2021,18-04-1961,Female,Finance,Investment analyst,Terminated,676,Michelle Miranda,Director,14,7,3,96515.6,11521.84,0,5,89,9,6,Walk-in,4.02,10-08-2021,Retirement,03-12-2024,Arun S,22,5,8,Yes,3,1.23,Low,Non-Diverse,55.02,8773.01,13,Yes,38,8.66
12036,10-06-2024,16-06-1991,Non-Binary,IT,"Producer, radio",Terminated,9,Juan Jones,VP,20,10,5,84579.18,15897.81,2,3,77,1,16,Walk-in,4.13,27-11-2024,Retirement,11-07-2024,Thomas G,12,5,6,No,0,3.12,Medium,Diverse,59.08,7201.84,30,No,55,3.44
12037,03-07-2017,06-03-1997,Non-Binary,Sales,Outdoor activities/education manager,On Leave,463,Erin Peterson,Manager,11,10,4,92636.83,17767.03,8,7,50,15,9,Walk-in,2.45,,,,Thomas G,33,5,17,No,2,3.53,High,Non-Diverse,74.25,8892.12,50,Yes,42,6.04
12038,02-06-2015,05-11-1991,Female,IT,Archivist,Terminated,72,Ana Juarez,Manager,10,17,1,86763.77,944.01,2,7,75,25,3,Job Board,1.67,12-07-2019,None,,Thomas G,38,0,14,No,1,3.99,Medium,Non-Diverse,67.81,7492.39,55,Yes,45,7.92
12039,13-11-2020,07-12-1986,Male,HR,Armed forces operational officer,Active,386,Jordan Lambert,Director,20,15,3,96691.67,15729.51,1,5,54,25,13,Walk-in,4.47,,,13-02-2022,Arun S,19,3,6,Yes,0,1.94,High,Non-Diverse,59.81,9300.69,59,Yes,57,5.52
12040,16-02-2017,18-10-1960,Non-Binary,Finance,Statistician,Active,72,Amber Sanchez,VP,12,18,3,103124.94,10099.81,6,8,3,34,7,Referral,1.48,,,20-11-2023,Patrick,29,3,11,Yes,2,2.18,Medium,Non-Diverse,73.16,7233.21,54,No,45,2.57
12041,24-11-2024,24-08-2004,Non-Binary,Sales,Community pharmacist,On Leave,199,Joshua Chambers,Manager,19,3,3,51141.77,13559.22,0,9,65,44,15,Recruiter,3.96,,,27-11-2024,Thomas G,15,4,15,No,1,4.71,Medium,Diverse,59.42,1398.58,29,No,58,4.33
12042,25-08-2015,14-03-1981,Female,Marketing,Horticultural therapist,Terminated,345,Hannah Martinez,Director,12,8,3,32960.77,9716.56,7,6,14,41,3,Recruiter,4.25,21-04-2020,Resignation,,Thomas G,37,4,4,No,0,2.9,High,Non-Diverse,88.97,5402.45,36,Yes,43,2.45
12043,03-04-2015,26-12-2006,Non-Binary,IT,Architect,Active,266,Patrick Fernandez,VP,12,14,2,109578.09,13192.53,6,7,28,10,10,Recruiter,3.7,,,12-06-2019,Thomas G,42,3,11,Yes,5,2.67,High,Non-Diverse,60.2,3406.82,9,No,47,2.69
12044,04-04-2022,26-11-1998,Non-Binary,Finance,Barrister,Active,824,Carl Bradley,Manager,8,0,2,56918.72,7292.38,0,4,34,34,7,Referral,3.37,,,,Thomas G,32,0,5,Yes,0,2.12,Low,Non-Diverse,63.28,7663.46,44,Yes,37,1.19
12045,14-05-2018,28-07-1974,Female,IT,"Geneticist, molecular",On Leave,379,Kelly Armstrong,Manager,9,0,5,44117.93,3546.24,1,4,91,3,11,Walk-in,4.83,,,,Thomas G,42,0,5,No,5,2.66,Medium,Non-Diverse,58.83,5882.8,43,Yes,55,5.1
12046,10-02-2018,25-01-1995,Female,HR,Call centre manager,On Leave,971,Belinda Gross,VP,18,5,4,50533.48,16747.93,10,2,68,5,1,Job Board,3.94,,,,Thomas G,8,5,11,Yes,5,4.24,Low,Non-Diverse,95.31,8288.67,16,Yes,56,8.99
12047,10-02-2023,24-04-1966,Non-Binary,Marketing,Land/geomatics surveyor,Terminated,310,Jeffrey Dodson,VP,0,11,3,85262.3,12790.55,8,2,71,23,13,Walk-in,1.77,26-09-2024,Layoff,,Patrick,38,3,0,Yes,3,4.5,Medium,Non-Diverse,65.89,2777.18,36,Yes,52,9.28
12048,31-12-2021,25-10-1983,Male,HR,"Psychotherapist, child",Terminated,89,Grace Anderson,Director,12,4,3,87672.83,1346.66,8,3,47,33,6,Walk-in,4.41,22-08-2023,Retirement,,Thomas G,42,0,19,No,3,4.21,Medium,Non-Diverse,87.38,2538.49,7,Yes,37,4.29
12049,07-06-2017,16-12-1964,Female,Sales,Sports administrator,Terminated,233,Evan Friedman,Manager,20,13,3,67587.62,16178.43,8,2,44,9,2,Recruiter,4.94,01-01-2020,Resignation,,Arun S,13,5,1,No,2,3.07,Low,Non-Diverse,92.97,2418.17,46,Yes,59,3.51
12050,04-12-2024,31-01-1985,Female,IT,Company secretary,Terminated,417,Jerry Davidson,Manager,7,1,1,78286.36,3315.14,8,4,70,14,3,Referral,1.64,26-12-2024,Resignation,,Arun S,23,1,19,Yes,1,4.92,High,Non-Diverse,66.22,3770.64,5,No,32,4.52
12051,10-02-2022,14-10-1963,Male,Sales,Editorial assistant,Terminated,882,Brandon Davis,Director,8,3,2,37133.2,14201.39,5,8,64,20,14,Walk-in,3.9,26-01-2025,Layoff,,Arun S,38,5,20,Yes,2,1.71,Low,Non-Diverse,99.5,3184.65,20,No,54,2.48
12052,02-04-2020,10-04-1980,Male,Marketing,Biomedical engineer,On Leave,431,Toni Parker,Director,4,14,1,72747.68,5441.78,7,9,70,42,2,Walk-in,1.11,,,,Arun S,26,3,19,Yes,0,3.57,High,Diverse,80.01,9032.92,8,Yes,46,6.37
12053,22-10-2021,16-08-1968,Female,Finance,Surgeon,On Leave,952,Rachel Nguyen,VP,8,2,2,47839.29,4700.56,4,5,68,45,11,Recruiter,2.18,,,10-08-2023,Thomas G,18,0,0,No,0,2.05,Low,Non-Diverse,53.51,1484.94,55,No,36,9.99
12054,07-01-2022,01-08-1974,Female,IT,Architect,Terminated,618,Ernest Guzman,Manager,20,15,4,33542.78,12736.41,2,6,82,39,2,Walk-in,2.27,07-09-2024,None,,Arun S,35,5,0,Yes,0,2.59,High,Non-Diverse,55.57,6787.85,10,No,40,3.1
12055,26-11-2022,11-10-1984,Female,Sales,"Therapist, art",Terminated,799,Matthew Cain,Director,3,9,3,54731.74,12549.25,8,6,90,35,1,Referral,1.82,25-04-2023,Layoff,13-08-2024,Patrick,50,3,11,Yes,5,2.08,High,Non-Diverse,92.51,1831.72,34,Yes,41,8.81
12056,13-02-2018,08-10-1996,Female,IT,"Scientist, physiological",Active,770,Laura Ramirez,Director,4,14,3,98984.68,8512.83,3,3,20,24,16,Referral,3.87,,,,Thomas G,44,3,11,No,3,4.66,High,Diverse,74.6,2520.71,8,Yes,37,5.51
12057,09-07-2021,11-05-1978,Female,Finance,Public relations officer,Terminated,73,Melvin Williams,Manager,0,6,4,76791.7,16466.96,1,0,35,15,4,Referral,4.56,07-01-2022,Retirement,,Arun S,41,1,1,No,1,4.27,Medium,Diverse,69.87,6188.32,25,Yes,59,5.62
12058,13-02-2017,11-08-2003,Non-Binary,HR,Human resources officer,Terminated,952,Lindsey Rollins,Manager,10,2,2,115616.12,1446.04,1,5,35,28,17,Walk-in,3.74,05-04-2022,Resignation,04-02-2022,Arun S,47,3,4,Yes,2,4.42,Low,Non-Diverse,84.55,2797.76,24,Yes,53,5.66
12059,03-01-2022,30-03-1967,Male,IT,Operations geologist,Active,352,Caitlyn Hickman,VP,13,1,4,47425.17,3932.85,10,0,94,20,2,Recruiter,2.74,,,16-02-2023,Thomas G,48,5,14,No,2,3.81,Low,Diverse,84.7,8044.58,57,Yes,54,8.39
12060,16-02-2017,10-01-2000,Non-Binary,HR,Furniture designer,On Leave,952,Gregory Nelson,Director,6,13,2,87290.98,2843.92,8,8,82,46,10,Referral,3.7,,,10-02-2024,Patrick,34,5,2,No,3,1.08,High,Non-Diverse,90.96,2520.75,18,Yes,31,7.95
12061,18-07-2015,01-11-1987,Non-Binary,Marketing,"Designer, exhibition/display",On Leave,843,Courtney Garcia,Manager,6,13,4,93929.66,1070.08,1,7,28,10,14,Walk-in,2.25,,,,Thomas G,20,5,17,No,1,1.97,Low,Non-Diverse,66.03,4674.06,57,Yes,43,8.49
12062,21-04-2016,27-09-1981,Male,Finance,Biomedical scientist,On Leave,853,Beth Clark,VP,14,5,4,113802.76,13559.65,2,9,58,0,4,Job Board,1.63,,,02-05-2017,Thomas G,50,3,2,Yes,0,4.87,Low,Diverse,83.85,3877.74,33,No,30,1.37
12063,08-04-2017,24-02-1973,Non-Binary,Finance,Medical illustrator,On Leave,831,Shane Schmidt,Director,10,10,2,87160.71,15503.66,10,10,28,2,2,Recruiter,3.43,,,08-03-2021,Patrick,25,0,17,No,3,2.28,Low,Diverse,96.75,1485.89,48,Yes,55,2.29
12064,21-10-2019,24-01-1988,Non-Binary,Finance,"Designer, blown glass/stained glass",On Leave,716,Victoria Barker,Manager,19,9,5,59238.54,5953.18,9,7,13,12,5,Recruiter,3.71,,,01-11-2022,Patrick,41,0,2,No,5,1.2,Low,Non-Diverse,70.98,4611.21,40,Yes,46,7.81
12065,19-03-2021,23-01-1963,Male,IT,Garment/textile technologist,Terminated,909,Yvonne Browning,Manager,12,15,5,54571.78,7218.32,0,8,33,49,3,Job Board,1.3,27-07-2022,Retirement,08-02-2023,Thomas G,17,0,1,Yes,0,4.16,Low,Diverse,88.24,6861.46,26,No,38,9.35
12066,17-10-2023,16-12-1989,Non-Binary,HR,Theme park manager,Terminated,249,Sarah Nunez,Manager,6,0,2,45963.51,18325.88,4,3,66,42,19,Recruiter,1.35,11-03-2024,Resignation,18-03-2024,Arun S,14,5,10,Yes,1,1.42,Medium,Non-Diverse,98.71,5729.76,55,No,55,8.07
12067,05-04-2019,24-01-1965,Non-Binary,IT,"Doctor, general practice",Active,603,Darrell Oconnor,Director,16,20,3,100535.77,16194.28,1,5,48,42,9,Recruiter,4.91,,,,Patrick,5,0,18,No,3,2.71,High,Diverse,61.43,9823.88,31,No,52,7.82
12068,24-03-2017,27-10-1985,Female,Marketing,Sports administrator,Terminated,176,Daniel Owens,Director,15,3,2,94605.77,2443.99,4,10,44,43,13,Walk-in,2.3,10-12-2017,Layoff,22-09-2022,Arun S,35,5,17,No,2,4.21,Medium,Non-Diverse,79.73,7938.88,13,No,34,3.74
12069,19-09-2020,25-10-1968,Male,HR,Colour technologist,On Leave,259,Oscar Ryan,Director,9,12,1,38059.94,18849,5,10,75,3,18,Recruiter,4.97,,,,Patrick,20,5,17,No,3,2.1,Low,Diverse,98.6,5166.76,5,Yes,42,8.54
12070,19-09-2022,26-04-1985,Male,IT,"Administrator, education",Active,37,Ashley Lee,Manager,13,15,3,95230.09,19512.65,1,10,45,24,9,Job Board,3.85,,,,Thomas G,39,1,1,No,2,3.31,Medium,Diverse,81.28,3621.75,43,Yes,43,5.57
12071,20-11-2015,01-08-1959,Male,HR,Architect,Terminated,971,Julie Rios,VP,0,3,1,66534.99,16702.52,7,8,46,34,6,Walk-in,2.93,06-06-2018,Resignation,,Arun S,37,4,19,Yes,1,2,Medium,Diverse,75.93,9611.46,17,Yes,56,8.45
12072,05-10-2024,22-04-2006,Male,HR,Herpetologist,On Leave,348,Christopher Berger,Director,14,7,2,84701.48,4736.79,9,3,59,33,7,Job Board,4.51,,,26-11-2024,Patrick,39,0,5,Yes,2,4.12,Low,Non-Diverse,70.43,8929.8,49,No,54,7.13
12073,05-01-2021,15-08-1969,Female,Finance,Archivist,Terminated,3,Michael Rush,VP,0,19,2,30908.17,18719.59,6,5,94,40,0,Job Board,3.03,06-02-2022,Layoff,,Thomas G,48,4,19,No,4,1.67,Medium,Non-Diverse,60.99,3571.42,12,No,40,5.34
12074,05-05-2023,02-05-1980,Male,IT,Financial adviser,On Leave,160,Keith Schmitt,Manager,6,14,3,56342.48,12374.66,1,3,82,29,15,Recruiter,4.5,,,09-01-2025,Arun S,30,3,2,No,2,1.51,High,Non-Diverse,51.91,3350.6,11,Yes,31,4.62
12075,06-07-2020,02-02-1975,Female,HR,Electronics engineer,Terminated,365,Gregory Scott,Director,19,16,1,91368.53,16418.56,9,6,62,40,12,Referral,1.51,04-05-2024,Resignation,,Thomas G,18,5,20,Yes,5,2.41,High,Diverse,75.78,1145.77,55,Yes,45,9.77
12076,07-10-2019,24-09-1997,Male,Sales,Exercise physiologist,Terminated,765,Kimberly Wright,Director,16,6,1,75283.98,10521.91,8,10,84,27,5,Job Board,3.37,05-09-2022,None,,Patrick,17,1,1,Yes,2,3.89,Medium,Diverse,64.61,8786.01,58,No,53,1.78
12077,26-04-2018,22-05-1975,Non-Binary,Sales,"Designer, fashion/clothing",Active,81,Alison Beck,Director,2,15,2,117605.18,13051.48,9,5,43,41,18,Walk-in,1.67,,,,Thomas G,5,3,12,No,2,4.71,Low,Non-Diverse,80.54,1878.73,53,Yes,52,3.49
12078,25-03-2024,17-08-1986,Male,Sales,Sub,On Leave,583,Melody Scott,VP,20,12,2,51562.24,6528.98,1,1,64,8,16,Recruiter,2.35,,,05-04-2024,Patrick,48,1,10,No,2,3.87,High,Non-Diverse,92.12,6533.69,55,Yes,35,2.03
12079,03-07-2024,30-11-1960,Female,Sales,Recruitment consultant,Terminated,726,Nicholas Jensen,Director,2,1,4,48570,11437.83,0,10,8,23,16,Referral,3.39,29-11-2024,Resignation,02-08-2024,Arun S,37,2,8,Yes,1,4.35,High,Non-Diverse,98.63,7730.28,28,Yes,38,2.33
12080,22-08-2022,19-02-2006,Non-Binary,HR,Computer games developer,Active,512,Andrew Miller,VP,11,8,5,108656.45,18855.89,4,6,40,43,15,Recruiter,3.74,,,24-10-2022,Patrick,5,2,19,Yes,0,1.57,Medium,Diverse,83.27,9525.44,5,No,37,4.41
12081,28-11-2022,06-07-1980,Non-Binary,IT,Solicitor,Active,540,Seth Mills DDS,Manager,4,14,4,75926.6,489.91,8,4,33,16,13,Referral,1.3,,,,Thomas G,23,4,7,No,1,4.69,Low,Non-Diverse,69.05,4154.08,24,Yes,32,1.24
12082,31-08-2018,08-02-1961,Male,Marketing,"Scientist, research (medical)",Terminated,569,Meredith Bond,Director,5,13,4,72107.02,19256.3,4,5,6,21,2,Referral,1.94,07-07-2024,Layoff,09-10-2023,Arun S,5,3,10,No,1,1,Medium,Diverse,58.18,3844.39,37,No,33,7.41
12083,06-09-2016,01-11-1994,Non-Binary,IT,Passenger transport manager,On Leave,742,Franklin Griffin,Director,5,12,1,90956.59,16644.23,6,9,58,36,5,Job Board,4.87,,,26-06-2024,Patrick,39,4,19,Yes,1,1.02,High,Non-Diverse,55.19,7998.45,55,No,31,6.27
12084,14-11-2018,10-03-1982,Female,Finance,Training and development officer,Terminated,599,Douglas Schneider,VP,11,16,2,112868.81,1203.7,0,6,31,8,17,Referral,4.95,15-07-2020,Layoff,05-02-2021,Patrick,12,2,13,No,1,1.59,High,Diverse,91.86,4274.72,40,No,42,7.08
12085,01-03-2018,06-06-2005,Male,Marketing,Human resources officer,On Leave,196,Christopher Contreras,Manager,17,8,3,96100.63,24.36,5,10,53,13,9,Referral,3.19,,,26-01-2022,Arun S,11,1,7,No,4,4.54,High,Diverse,66.55,2458.27,47,No,53,3.08
12086,03-07-2020,20-05-1992,Non-Binary,Marketing,Heritage manager,Active,158,John Willis,VP,10,5,4,60732.2,7750.87,5,9,47,0,9,Walk-in,4.46,,,,Thomas G,46,0,17,Yes,5,1.65,Low,Diverse,79.98,1111.31,21,Yes,56,9.43
12087,09-08-2018,09-03-1981,Female,Sales,Chartered accountant,Terminated,788,Cathy Kennedy,Director,11,5,1,95655.03,5153.06,6,4,38,26,20,Job Board,3.08,19-06-2022,None,29-05-2020,Arun S,35,1,1,No,1,4.32,High,Diverse,82.64,4764.36,37,No,30,6.8
12088,11-08-2016,29-10-2002,Non-Binary,Sales,Museum/gallery curator,Active,473,James Davis,VP,12,11,2,92877.05,10777.69,1,6,20,3,16,Referral,1.48,,,,Thomas G,48,3,12,Yes,5,1.17,Low,Diverse,63.6,1683.08,11,No,35,4.82
12089,24-03-2019,21-05-1961,Male,Marketing,Art gallery manager,Active,840,Pamela Zhang,Manager,3,12,4,34633.78,2558.85,6,6,78,29,0,Recruiter,2.35,,,16-03-2021,Patrick,19,5,18,No,5,2.04,Low,Diverse,76.31,6631.82,29,Yes,48,4.84
12090,26-12-2021,28-03-1991,Non-Binary,Finance,Chartered public finance accountant,Active,565,Nicole Bentley,Manager,14,8,3,98111.11,13387.45,0,2,43,32,4,Job Board,3.04,,,15-05-2023,Patrick,27,1,20,No,1,3.99,High,Diverse,86.49,1071.73,27,No,51,2.71
12091,12-11-2024,27-01-1980,Non-Binary,HR,"Scientist, research (medical)",Active,990,Jessica Allen,Director,10,13,5,35136.04,6076.12,7,2,9,48,1,Referral,3.71,,,,Thomas G,35,2,15,No,1,4.48,Low,Diverse,56.23,9631.65,56,Yes,60,4.28
12092,02-08-2022,27-08-1998,Non-Binary,HR,"Journalist, newspaper",Active,901,Jessica Green,Director,3,7,4,32118.25,10262.35,9,4,80,32,1,Referral,4.91,,,14-02-2024,Patrick,35,5,1,No,1,1.73,Medium,Diverse,92.56,5054.42,52,No,51,2.76
12093,16-02-2016,06-09-1980,Male,HR,"Scientist, water quality",Active,220,Erik Willis,Director,6,10,1,90761.12,3558.51,7,9,28,3,15,Referral,3.53,,,26-04-2020,Thomas G,14,2,7,Yes,1,4.39,Low,Diverse,97.65,2864.98,29,Yes,30,3.86
12094,14-05-2021,04-03-2001,Non-Binary,Finance,"Secretary, company",Terminated,781,Diane Williams,VP,16,3,1,73359.35,19873.35,9,1,96,29,3,Recruiter,1.99,21-09-2024,None,,Arun S,19,0,14,Yes,3,4.22,Medium,Diverse,58.06,9144.51,25,Yes,57,2.69
12095,07-10-2015,22-08-1999,Female,IT,Technical brewer,Active,349,Pamela Hill,Manager,11,3,1,94581.38,12505.01,5,1,3,10,16,Recruiter,1.78,,,,Arun S,26,0,18,No,2,4.66,Medium,Diverse,50.78,2611.39,35,Yes,60,7.43
12096,10-02-2020,08-07-1974,Non-Binary,Finance,"Accountant, chartered",Terminated,207,Gerald Reeves,Director,9,1,2,58212.83,9781.3,6,2,21,39,6,Walk-in,2.32,11-12-2020,Resignation,19-10-2022,Thomas G,21,0,15,Yes,2,4.88,High,Diverse,78.15,3861.24,48,No,37,4.95
12097,25-01-2018,29-04-1991,Non-Binary,IT,"Designer, textile",Active,610,Michael Parks,Manager,12,2,5,76711.6,15398.03,5,2,22,22,18,Recruiter,4.18,,,05-04-2023,Arun S,28,0,17,Yes,5,2.41,Low,Non-Diverse,78.96,1900.76,42,Yes,55,4.91
12098,26-04-2019,22-01-1965,Non-Binary,Marketing,Special effects artist,On Leave,375,William Garcia,Director,9,18,2,102142.61,15612.96,4,7,54,4,6,Job Board,1.55,,,07-03-2023,Arun S,48,5,14,Yes,5,2.05,High,Non-Diverse,83.05,2026.71,19,No,39,7.74
12099,28-07-2024,05-04-1963,Non-Binary,Sales,Leisure centre manager,On Leave,288,Kimberly Morrison,VP,8,20,1,116747.61,3925.65,3,8,93,17,4,Walk-in,1.4,,,17-01-2025,Arun S,48,4,3,Yes,4,3.85,High,Non-Diverse,51.61,3725.58,23,Yes,35,2.01
12100,15-10-2016,18-09-1982,Non-Binary,HR,Freight forwarder,Active,879,Dr. Danny Hood MD,Manager,20,16,5,117035.52,8329.97,5,7,66,10,11,Recruiter,3.18,,,,Arun S,5,4,15,Yes,3,3.97,Low,Diverse,69.34,5487.51,46,No,30,2.33
12101,29-09-2022,16-09-1980,Male,IT,Hydrologist,Terminated,721,Lisa Brown,Director,5,11,4,31687.28,12036.69,9,5,67,7,20,Job Board,2.47,08-08-2024,Resignation,07-01-2025,Thomas G,27,4,7,No,0,3.39,Medium,Diverse,70.5,6622.5,59,Yes,50,2.06
12102,01-04-2018,22-04-1984,Female,Finance,"Therapist, nutritional",On Leave,681,Samantha Rivera,VP,1,9,1,114041.9,5003.34,5,0,75,36,11,Job Board,1.5,,,23-05-2023,Arun S,23,0,16,Yes,2,2.06,Medium,Non-Diverse,95.41,8213.33,21,No,53,7.94
12103,17-04-2018,06-11-1987,Female,IT,Social researcher,Terminated,321,Jeffrey Aguilar,Manager,7,0,2,112335.12,9258.41,10,7,36,33,15,Job Board,3.53,31-01-2022,None,,Thomas G,13,4,4,Yes,1,2.31,High,Diverse,50.54,5702.81,29,Yes,59,3.34
12104,25-09-2015,27-07-1976,Female,Marketing,Waste management officer,Active,425,Stephanie May,VP,17,12,2,93827.69,10368.14,2,5,59,15,18,Walk-in,3.35,,,06-06-2016,Patrick,33,2,7,Yes,1,4.08,High,Non-Diverse,69.13,2178.48,53,No,49,5.26
12105,24-04-2024,25-09-1986,Female,Marketing,"Horticulturist, amenity",On Leave,512,Cynthia Butler,Director,14,0,4,53367.64,14963,1,7,51,13,2,Referral,4.19,,,12-07-2024,Patrick,31,0,17,No,5,1.23,Medium,Diverse,69.81,8350.35,53,No,38,6.24
12106,29-03-2023,05-05-1975,Female,HR,Statistician,Active,837,Christina Anderson,Manager,2,20,3,34793.66,3142.3,8,0,83,32,10,Referral,4.88,,,04-10-2024,Arun S,44,3,15,No,0,1.84,Medium,Non-Diverse,55.35,8525.85,32,Yes,45,4.93
12107,26-06-2021,28-08-1983,Female,HR,Estate manager/land agent,On Leave,985,Dr. Brian Sanders,Director,8,2,1,66470.81,8661.89,0,3,43,0,18,Referral,4.26,,,15-10-2023,Arun S,22,5,8,No,5,2.68,Medium,Non-Diverse,96.09,4566.82,18,No,43,3.84
